"","X","score","text","emotion","polarity"
"79",79,12,"Good for travel and consuming Amazon content. I wanted this small Fire for when I fly and want to watch TV or movies. Most of the content provided by the airlines is old or low quality. Since I have a prime account I can choose from a fair selection to load for free.  I was pleasantly surprised that even the ""good"" mode gives a pretty clear picture.  I tested it with the pilot episode of the Sopranos - it's a good picture, took just below 400mb.  I got the 16GB fire so I can easily fit 20 similar episodes which would cover any domestic trip including airport stops.  One warning, video has an expiry date which for the Sopranos was three days.Overall performance was good.  I was impressed by the email app that came with it, I found and set up my office email no problem. It's not thin and light, rather heavy.  Not for carrying around with you in a pocket for long times. It's a limited android, the apps available without rooting or side loading are not extensive. Youtube worked well.  The biggest weakness is that it doesn't have Google apps or Google docs. The app store is small. I'd recommend it if 1) you are a Prime member and 2) you want it mainly to consume Amazon content and 3) you don't need Google apps.Best part it is cool to be able to download for free so many videos and prime music, keeping in touch with email, and the office-type suite apps you can buy to view office docs. I got Mobisystems Office Suite 7 pro and when a co-worker sent me a word doc attachment to my email it opened easily.  Also basic photo apps and of course books are there. I use Apple devices normally so it did take a day to get used to using the Android style interface.It automatically loaded my kindle books no problem.  Wifi connectivity worked well.I would actually rate this 4 and a half stars with half a star off for missing a broad range of Android apps especially Google apps.","joy","neutral"
"80",80,-1,"Very Disappointed! I purchased my Fire new a few weeks ago. A couple of days after I purchased it the screen would go black while I was trying to play a game or view anything online. I had to continuously restart it by pressing the power button. I noticed that the problem got worse if I was hand holding it. If it was laying on a flat surface it would still shut off on its own but not as frequently.I did the 40 second restart. I did it 4 times and the problem continued. I chatted with a customer service person at the Amazon site. While she was very nice/helpful, the problem continued. Basically, my Kindle Fire 6 HD is almost impossible to use as I can't view anything for more than 15 seconds without it going black, then switching to the ""recommended ads screen"". I tried disabling this feature thinking it might help, but the problem continues.I purchased an off-brand, Android based inexpensive tablet for my kid and it works perfectly compared to my Fire. My wife's old off-brand, Android based tablet also works flawlessly.  I really wanted to like this tablet, but I am truly frustrated with it. My next step will be to contact customer service yet again. I'm seriously thinking about giving up  and returning it.","joy","negative"
"81",81,7,"I am not a computer master.  I am a middle aged mom who likes to read, surf the internet, do some Facebooking and messaging.  So perfect is not so important for me.... I see no problems or drawbacks with this product.  I LOVE IT.  I have other kindles.  This one is just a little larger than my phone, and does so many things I love to do.  Great size for pocketting or pursing!  The portability meets my needs perfectly!  Loving my newest Kindle!","joy","positive"
"82",82,5,"My old tablet died. This was a gift from my husband. BEST HUSBAND EVER!! This Amazon Fire HD6 does it all, without breaking the bank!! Everything loads instantly, plays perfect without lagging, is very bright, clear and quick. Seriously worth every penny. I love the kindle freetime, my grandson can play without any worries. Thank you Amazon and my darling husband!!","joy","positive"
"83",83,2,"The device is good for an adult with an account or possibly for one device shared amongst family members.  Unfortunately, my daughter bought this with her birthday money and Amazon does not have good programming options for children in a household with their own device.  So after speaking with a Rep. from Amazon three times, it has been determined that these are my three options and their flaws. 1). The Free Time app. -  Is good for controlling some things like books, music and some apps. However, it limits the child to those items only.  Under the Free Time app they can not take photos, videos, skype, or any other ""fun"" apps they would enjoy.  2). Parental controls.  Under the parental controls you can not turn off the cloud option in books.  This allows the child to see all your books in your library.  They can swipe between the two indiscriminately. This eliminates the need to choose which books you choose to download to the device as they can read all of them.  3).  Set up their own account.  If you have Prime (as I do), you can not share it (you can share prime for shipping but not videos, books, etc.). So that membership fee looses value.  If you purchase a book for your child, you have to gift or loan it to them.  You will also need to set up an e-mail for the child as well.Amazon is a big company and I am disappointed that they can't do this better.","joy","negative"
"84",84,5,"OH MY GOD I AM SO IN LOVE WITH MY KINDLE. I WAS SO SCARED TO CLICK  PURCHASED, BUT I DID MY RESEARCH ON YOUTUBE AND READ A FEW FEEDBACK FROM PEOPLE WHO PURCHASED THE KINDLE AND WAS SOLD.  ITS THE PERFECT SIZE, ITS BIGGER THAN  MY SAMSUNG GALAXY NOTE 4 AND SMALLER THAN YOUR AVERAGE TABLET, SO ITS RIGHT IN BETWEEN. tHE  SCREEN SIZE IS PERFECT FOR READING. I  DOWNLOAD ALL MY FAVORITE APPS. ITS REALLY COOL.","fear","positive"
"85",85,-4,"Constantly freezes and sometimes the screen does not work when I touch it. It also does not turn on when fully charged every once in a while. I have an iPad mini, and I do not have any of these issues. I exchanged it a few days after I noticed the issues, but unfortunately, the second one I received had the same issues.","disgust","negative"
"86",86,22,"I recently purchased myself this 4th generation Kindle Fire 6"" HD device during Thanksgiving as an upgrade over my 1st generation Kindle Fire.First things first... you will want to get yourself a case for this, as it's it's at a size that feels awkwardly big and small at the same time, and you don't want to accidentally drop it (which is easy, since it also felt heavier than I would expect for something that size).  However, it'll probably be difficult to find a case for this device in stores due to it's unconventional size.  I tried at Best Buy and a couple stores, but eventually ordered a ""MoKo Fire HD 6 Case - Slim Folding Cover"" from amazon a week later, and it does the job.  Build Quality wise, this device feels solid!  it doesn't ""bend"" or feel plastic-like.Speed.  This thing is fast, at least way faster than my old Kindle was.  It's quick to start, and very responsive.Reading.  Slightly smaller than my old Kindle, it will display less words per page.  Easy to read, just like my old Kindle.Video.  The video on this thing is awesome!  HD quality, and very sharp.  My only complaint with the videos is that there's not enough space on the device for me to download any HD movies for offline viewing.  I'd think 8 GBs would be enough, but with the few movies I tried to download, it complained about space.  When I tried downloading in lower quality, it worked.  Either I need to try a shorter movie, or not download in HD.  As far as watching streams though, it's great and works flawlessly.Sound.  I'm not qualified for rating sound, since I have a hearing disability, but when I plug in my earbuds and listen to prime music, it sounds great.  As far as the speakers, they work and I can hear it when it's turned up all the way.  As far as quality of that internal speaker, I think it's suffice, but you'll probably be like me and use earbuds.Apps.  I only installed a few apps on this thing, like Youtube, Twitch, Spotify, Pocket, etc... and they work fine, just like they would on an android device.Camera.  I only took one picture with the front facing camera, and it was alright.  Fortunately my image didn't break the device.  I don't intend to really take pictures with my kindle, and I haven't bothered taking any photos with the back facing camera.  For simple photos, I think it's more than acquit.Battery Life.  So far, it seems to be pretty good with battery life, but has a little bit less capacity than my old kindle had, but considering that this does much more stuff, and last hours and hours and hours before requiring a charge, I'm not worried at all about it.About the ads... there are ads on the lock screen.  Meaning nothing more than that, which you simply swipe to unlock (that's 1 swipe, not 2 or 3).  You're not forced to buy anything, or click thru a bunch of surveys and I wouldn't bother paying extra to have them removed.  They aren't annoying or intrusive, and you only see them on the lock screen.  If you liked an ad that you swiped past, you can view them under ""Offers"" in the menu.Shopping.  Shopping on this thing is easy.  I purchased my case for this kindle via from this kindle.  I also purchased a few kindle books.  The whole experience was straight forward and easy.  For those who want to set restrictions (due to children, etc), there are settings you can set, but I haven't really played with them.Amazon Prime service.  Lets all be honest here, the kindle fire is really an Amazon Prime consumption device. Obviously, if you're not utilizing Amazon Prime, then this device's killer features will mostly be overlooked.  Sure, you can watch youtube on it, but the Prime service is what really makes this device ROCK!  With a Prime subscription, you'll have access to all sorts of music and videos, that without, I'd have a hard time justifying purchasing a kindle fire over a generic mini-tablet.Overall, I'm very satisfied with my Kindle Fire HD 6 purchase, and it has been at my side pretty much since purchase, effectively replacing my old Kindle.Pros:Fast response (software/hardware)HD video playbackGreat with Amazon PrimeBuild Quality feels solidAffordableCons:Heavier than I expectedKind of an awkward size, like an oversize smart phone, hard to find cases for.Not enough memory to download HD movies for offline viewing (at least for me)","joy","neutral"
"87",87,8,"This is my third Kindle. I had the first generation, then the HD 7"", then this one. I did a lot of research and comparison shopping before I bought this one. I was torn. I wanted something smaller than the 7"" (and in this case it was the only one of any brand that was smaller than the 7"") but the HDX 7"" was a lot sleeker than this one. This one has got some bulk to it. Surprising bulk for such a compact size. And it's boxy compared to the HDX 7"". However, I stuck to my desire for a smaller Kindle and I am not disappointed at all. I LOVE it! I really like reading magazines on it. For such a small screen they've done a great job of presenting the magazine pages in a way that makes them clear and easy to read. And, the resolution, WOW, I can see a huge difference between my old HD 7"" and this one. This one is truly beautiful. I guess some are bummed that this one doesn't have the Mayday function on it, but that has never appealed to me. A chat session or email is just fine with me. This one has turned out to be everything I wanted and has surpassed my expectations in many ways. Well done, Amazon, once again!","joy","positive"
"88",88,4,"WARNING! Does not support Google ANYTHING. I even tried getting the APKs to do it myself but it wont support half of those either. I didn't really do my research on this because I didn't really care that much, but for anyone else, If you don't like any apps associated with Google, then this would be ok for you but there are other tablets out there that would still be better. This is essentially a glorified Kindle. Which would be fine, but it's not really advertised that way.","joy","positive"
"89",89,6,"I purchased this tablet for my 4 year old son as a substitute for the iPad he favored. I thought this would be a good buy given that you can place more restrictions on it than the iPad and with three Kindle Free time it seemed more kid friendly. We have been using the tablet for a month now and I have to say I am very disappointed! To start, the memory on the Kindle is crap. Every app, game, book, pretty much everything has to be downloaded to work. It states that the device has 8 GB of memory but my Kindle is currently at 4.88GB used and says to only have 184.MB left. That doesn't add up to 8GB. It's frustrating since you have to constantly delete items in order to connect to WiFi and use the tablet. Then when you go to delete items the majority of the apps taking up space are all system applications that you cannot delete! And honestly don't even use! It would be nice to delete those preloaded apps to get more space for the apps you want. It would be better if you could add an SD card or some type of external storage device to add more space but you cant! I am getting ready to send this back and purchase the iPad. At least the internal storage space can handle all of the downloads needed.","joy","positive"
"90",90,7,"I love this Kindle. I have bought a bunch of tablets including the 1st generation ASUS Transformer, IPAD 2, Samsung Tab 2, Nexus 7 I/II and this one. This is cheapest one in my army of tablets, but surprisingly it might be the most powerful one. Its wifi is so good that I can watch HD Prime video at every corner of my house. I purchase it mainly for my kids. My daughter loves it and always calls it ""little IPAD"" and said the little is better than the ""big IPAD"". I don't think Amazon is making good money from the $99 gadget. It should be a trap to steal your bucks when you use it to buy books, audio/video contents. I have been Prime member for years. Even we can watch so many videos for free, I still bought a couple of movies for my kids. Anyway, it is a good buy, especially for young members of my family.","joy","positive"
"91",91,2,"I bought my daughter the Kindle fire for her birthday and a week later it no longer works.  It just keeps turning on and off, I can't even reboot the Kindle because it doesn't stay on long enough to reboot it.  Very disappointed because I was going to purchase a Kindle for myself but I'd rather pay extra money for something more reliable.","unknown","negative"
"92",92,0,"I have an older Kindle Fire, and I was looking forward to an update. Unfortunately, the one I got wouldn't ever connect to Wifi, so I couldn't even make it through setup. Amazon wasn't helpful and didn't offer to replace it with another unit, so back it goes. It might be a good product, but sadly, I will never know.","joy","positive"
"93",93,4,"This tablet is perfect for me.  I like to take photos, and share them via e-mail.  I trust Amazon products, and the new Fire HD tablet is exactly what I needed, as I don't want to pay $50 or more per month for a cell phone with a costly plan.  And I don't have to use my (old) camera and then download the pics to my pc anymore.  All the photos I take on my Fire HD tablet get stored in the Amazon cloud!  (No more photo albums.)  I can send the photos directly from the Fire tablet to my family and friends via e-mail.  And, the Fire HD is a great price and takes great photos!  Everything you need to change the photo comes with the tablet; you can adjust, crop, rotate the photos, etc., and it's easy to use.","joy","positive"
"94",94,8,"Perfect size and weight for travel, for watching and reading in bed at night; excellent video and audio quality, very user-friendly and easy to set up apps; nice reading quality with built-in tools that are interesting and fun to use: a quick dictionary, for example, just by highlight a word with your finger, or highlighting simply by dragging your finger down the text. I love it. Plus, forgive me, but it's really cute! I love the size.","anger","positive"
"95",95,23,"A little background information about me- I've never owned a tablet, though at one point I borrowed a friends 2nd edition ipad, and that was a joy to use. I have an iphone 5 and recently the new 6 and 6 plus came out. I love my phone, and I love the size of my phone and how easily it fits in my hand. I use my phone for everything- including my nightly 2+ hour reading sessions. The reading sessions on the 4 inch screen of my iphone are especially painful for me, so I was debating about upgrading to the 6 plus and /finally/ being able to read on a decent sized screen. However, besides reading, I didn't want a bigger phone, I really like my phone the way it is... But the reading was difficult... What to do....And then enter the Fire HD 6. I am SO happy. I immediately drove down to my local big electronic store the day it came out. They had some in stock, but they weren't even out on display. They kept trying to sell me the older editions, haha, but I waited an hour or so while they found one (still in the back, apparently, it hadn't made it's way to the floor yet!). Now I don't have to upgrade my phone to read and i'm so pleased.My thoughts on the fire hd- The 6"" size feels just right to me. I read a lot of fanfiction (nerdy) and I just go to the website in the silk browser, tap on the ""reader mode"" button, and scroll down as I read. The device is small enough that I can easily grip it in one hand and use my other hand to lazily scroll down the page as I read. It's visually beautiful, everything looks so clear and vivid during my two days with it so far, and the os is simple and easy to navigate. I've never had an android device, and I wasn't looking to replace my cellphone and this IS my first tablet, so so far I feel like all the apps I've wanted were in the app store. Unless you're looking for smaller ones, I don't think you'll have any issues with the amazon apps. I don't know if this is unique to the fire or unique to android, but when I plugged the USB in to charge to my computer, Fire HD immediately told me this was a slow charging port and it would take awhile to charge. Wow, I've never had a device tell me that! I switched to a wall outlet, and it charged perfectly fine.A couple of negatives-- I feel like it picks up fingerprints easier than some of my other devices, but they're easy enough to wipe of... and no Chromecast support! This is actually huge for me, because it means I still need my iphone to direct my TV. I have a chromecast stick and a roku stick- and I generally prefer to use the chromecast since it can also cast from my PC, which is nice. However, when I am in the Plex App, or the Netflix App, it only seems to be able to cast to the Roku player. It does cast to the roku fantastically though, so I am happy for that... But the no chromecast thing means that this device cannot be a living room hero for me. I would have loved to be able to retire my phone to the charger while I was home, but it looks like I'll still need it to control the TV. However, I dont think this issue will affect most people, but it effects me, so I took a starAnother thing to note is the speaker location, which is on the back of the device instead of the bottom. It IS true that with certain hand positions, you're actually blocking the sound, but I actually love the speaker placement. When watching a video in landscape, if you're holding the device with both hands, my hands naturally make a sort of ""cupping"" hold around it (just my natural handplacement) which actually amplies the sound towards me.I dont feel like the touch screen is quite as ""on point"" as my phone, sometimes I need to click something a couple of times to make it do what I want... but overall, everything is so fluid. I got SO MUCH MORE out of this then I expected for such a cheap device.","joy","positive"
"96",96,4,"This has been one of the best investments I have made for quite a while. It does everything my wife's Kindle Fire does and more. Plus it was 1/2 the price. I couldn't be happier. The speed that it operates is much more than my smart phone. This is a must have for all you who have been wanting a tablet that does it all without the high price.I have only had it for a week and I am still excited.","anger","positive"
"97",97,-1,"Really disappointed. Initially thought I could live with the quirks, because the price was right.-My Fire locks up all the time, essentially, whenever it finishes a download, or gets unplugged, it has to be completely shut down and restarted to get out of the blank screen.-Fire takes forever to download ordered items, as compared to other services.-Touch screen tech is sup par, what prompted me to write this review was this morning, after banging away with my finger 7 or 8 times on a link, finally saying ""forget it"" and going to my lap top.It was just then that I realizes that the quirks are bad enough to have me too frustrated to even try using it, no matter what the price, it was not worth it.","sadness","negative"
"98",98,0,"If you are expecting 8 gig of storage for the kindle fire hd 6 you will be sad to know there is only 4.5 available to user read the fine print!!!  Very disappointed with Amazon and will not be buying from them again.","sadness","neutral"
"99",99,0,"I love the size, I love the feel. I hate I can not load Google services. I live by Google Apps. Gooe Keep, Google Drive, Google Docs, Google hang outs.I got the Fire HD6 because I've been waiting on a 6"" Table that could play between my phone and tablet. I was prepared to buy a 6"" phone to use as a tablet. I was excited when Amazon release t h e HD6. I was very disappointed when I found out that the services I use the most couldn't load on a different type of Android tablet. I can load Google Services on any Apple Device, but not an Amazon tablet?I understand how Amazon wants people in their eco system. The problem is that Eco system is incomplete without Google Services. Samsung has its own Eco system and software over lay on Android, and still allows Google Services.Amazon is a great place to shop online. Your tablets, and even the Fire Phone is a great way to give people access to the Amazon Market place. And with Amazon Prime as a service, Amazon is growing stronger as a brand each day. It doesn't need to block out Google Services to stand out as a brand.","joy","neutral"
"100",100,-4,"I discovered, it is near impossible to de-link the kindle fire from my primary Amazon account. I worry the scenario: a criminal gets ahold of my Kindle Fire... and goes on an Amazon shopping binge!!! (at my expense!) Or my 2-year-old inadvertently goes on an App buying binge (already happened!)I plan to destroy the Kindle Fire tomorrow.Amazon... I'm very disappointed.Up till now, I was a happy Amazon user.$99 wasted.","joy","negative"
